Movables,Source,Intent,Collect,Reading Source,Reading,Gospel Source,Gospel,Approved,Notes
Third Sunday in Lent,Old Lectionary,Understanding,"O repose of the all, we give Thee glory, the Father of Greatness, the glorious King, the Sun in His Aeons, the mighty Crown-bearer, the Father of all our race, the God of all the Gods, the good tree that has given no evil fruit, the Father whose children are many, the Watcher who guards His tower, the sleepless shepherd, the helmsman who does not swoon from the drink of the world, the king and god of Truth, He of the unfading crown, who is Himself all wisdom and love, and who fills our hearts with understanding and compassion. Amen. ",Holy Prophet Mani,"You are the sons of the day and the sons of Light; fight yet a little while, O sons of Light, and you will be victorious; he who evades his burden will lose his bedchamber! Support one another, my brothers, do not flinch at all; we have a God who cares for us, He will help us in His compassion. Be yourselves refiners and saviors for your soul which abides in every place, that you may lead it to the dwelling of the fathers of the Light in the New Aeon in the place of Joy. The many have erred because they look to a distant day, but let us today do good so that our way may be radiant once again, and we may be fearless wherever we may go! Let us not slumber and sleep, until our Lord changes us, his garland on his head and his palm leaf in his hand, wearing the robe of his glory  and all of us enter the bride chamber and reign together  with him! ",Gospel of St. John,"The Pharisees brought unto Jesus a woman taken in adultery, and when they had set her in the midst they said unto him: Master this woman was taken in adultery, in the very act; now Moses in the Law commanded us that such should be stoned; but what sayest Thou? This they said, tempting Him, that they might have wherewith to accuse Him. But Jesus stooped down, and with His finger wrote on the ground, as though He heard them not. So when they continued asking Him, He lifted Himself up, and said unto them: He that is without sin among you, let him first cast a stone at her. And again He stooped down and wrote on the ground. And they who heard it, being convicted by their own conscience, went out one by one, beginning at the eldest, even unto the last; and Jesus was left alone, and the woman standing in the midst. When Jesus lifted up Himself, and saw none but the woman, He said unto her: Woman, where are those thine accusers? Hath no man condemned thee? She said: No man, Lord. And Jesus said unto her: Neither do I condemn thee; go and sin no more.",,
Fourth Sunday in Lent,Old Lectionary,Spiritual Refreshment,"O Thou supreme Life-Spirit, cause of every change throughout creation, origin of all, and single source of every living soul, of Thee alone is our beginning, and in Thee alone have we no ending. As Thy sacred symbol of the seed is sown in Springtime, set Thou likewise in our hearts and souls the sacred spark of Thine immortal light. Grant us we pray a peaceful and refreshing season of progression. Let us receive fresh light upon our paths and follow this with faith throughout Thy plans for our perfection. May this truly be Thy will in us and our true will in Thee, that we may ultimately unify in everlasting love. Amen.",Epistle of St. Paul the Apostle to the Philippians,"I have learned in whatsoever state I am, therewith to be content. I know both how to be abased, and I know how to abound; everywhere and in all things I am instructed both to be full and to be hungry, both to abound and to suffer need. I can do all things through Christ who strengtheneth me. Brethren, whatsoever things are true, whatsoever things are honest, whatsoever things are just, whatsoever things are pure, whatsoever things are lovely, whatsoever things are of good report: if there be any virtue, and if there be any praise, think on these things. Those things which ye have both learned, and received, and heard, and seen in me, do; and the God of peace shall be with you. Rejoice in the Lord always; and again I say, Rejoice. Let your moderation be known unto all men. The Lord is at hand. And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.",Gospel of St. Philip ,"The light and the darkness, life and death, the right and the left, are brothers one to another. It is not possible to separate them from one another. Because of this, neither are the good good, nor the evil evil, nor is life a life, nor death a death. Because of this each one will be resolved into its origin from the beginning. But those who are exalted above the world are indissoluble and eternal. ",,
Passion Sunday,New Sacramentary,,N/A,Revelation,"I heard a great voice of much people in heaven saying: Alleluia; salvation and glory and honor and power unto the Lord our God, for true and righteous are His judgments. And again they said Alleluia. And the four-and-twenty elders and the four beasts fell down and worshipped God that sat on the throne, saying: Amen, Praise our God, all ye His servants and ye that love Him, both great and small. And I heard as if it were the voice of a great multitude, and as the voice of many waters, and as the voice of mighty thunderings, saying: Alleluia; for the Lord God omnipotent reigneth: let us be glad and rejoice and give honor to Him.

And I saw heaven opened, and behold a white horse, and He that sat upon him was called Faithful and True. His eyes were as a flame of fire, and on His head were many crowns; and His name is called Word of God; and He hath on His vesture and on his thigh a name written: King of Kings and Lord of Lords.",Gospel of Matthew,"And when they drew nigh unto Jerusalem, and were come to Bethphage, unto the mount of Olives, then sent Jesus two disciples, saying unto them, “Go into the village over against you, and straightway ye shall find an ass tied, and her colt with her: loose them and bring them unto me. And if any man say aught unto you, ye shall say, ‘The Lord hath need of them,’ and he will straightway send them.” 

And the disciples went, and did as Jesus commanded them, and brought the ass and the colt, and put on them their clothes, and they set him thereon. And a very great multitude, when they heard that Jesus was coming, went forth to meet him, and spread their garments in the way, and others cut down branches from the trees and strew them in his way. And the multitudes that went before, and that followed, cried, saying, “Hosanna to the son of David: Blessed is he that cometh in the name of the Lord; Hosanna in the highest.” 

And when he was come into Jerusalem, all the city was moved, saying, “Who is
this?” And the multitude said, “This is Jesus the prophet of Nazareth of Galilee.”
",,
Maundy Thursday,Old Lectionary,The Mystery of the Eucharist,"O God, who hast given thy children the wonderful mystery of the Eucharist ere the world began; who hast sent to us holy messengers of thy love, who were without father, without mother, without descent, having neither beginning of days nor end of life, but made like unto the sons of God, thou art verily the heart-blood of the universe, whereby all beings live. Grant us, we pray, that we may properly reverence and worthily receive the unspeakable mystery of thy mystical body and blood now and forevermore. Amen.",Psalms of David,"Put thou thy trust in the Lord, and be doing good; delight thou in the Lord, and He shall give thee thy heart’s desire. Commit thy way unto the Lord, and put thy trust in Him, and He shall bring it to pass. He shall make thy righteousness as clear as the light, and thy just dealing as the noonday. O rest in the Lord; wait patiently for Him; for the meek shall inherit the earth, and shall delight themselves in the abundance of peace.",Gospel of John,"Amen, Amen, I say unto you, he that believeth on Me hath everlasting life. I am that Bread of life. This is the Bread which cometh down from heaven, that a man may eat thereof, and not die. I am the living Bread which came down from heaven; if any man eat of this Bread, he shall live forever; and the Bread that I will give is My flesh, which I will give for the life of the world.",,
Good Friday,New Sacramentary,"Tenebrae, or Shadows","Let us pray: Eternal Light, shine in our hearts. Eternal Goodness, deliver us from evil. Eternal Power, be our support. Eternal Wisdom, scatter the darkness of our ignorance; that with all our heart and mind and soul and strength, we may seek Thy face and be brought by Thine infinite mercy to Thy holy presence.",Special,"1st Reading: Shadow of Betrayal (Matthew 26:20-25) 
2nd Reading: The Betrayer Revealed (John 13:26b-30) 
3rd Reading: Shadow of Desertion (Matthew 26:31-35) 
4th Reading: Shadow of Pride (Luke 22:24-27) 
5th Reading: Agony of the Soul (Luke 22:39-44) 
6th Reading: Unshared Vigil (Mark 14:32-41) 
7th Reading: ""Father, the hour is come"" (John 17:1-6) 
8th Reading: ""That they may be one"" (John 17:15-22) 
9th Reading: Arrest in the Garden (John 18:1-5) 
10th Reading: Shadow of the Kiss (Luke 22:47-48) 
11th Reading: Shadow of the Cross (Mark 15:16-20) 
12th Reading: The Word was God (John 1:1-5) 
13th Reading: The Ultimate Victory (Rev. 5:6-14)",,,,
Easter Vigil,New Sacramentary,,,Acts of St. John,"Jesus said to John: Thou hearest of me suffering, yet I have not suffered; pierced, yet was I not smitten; hanged, but was not hanged; blood flowing from me, yet it did not flow. And in a word, what they say of me, these things I did not have; while what they do not say, those I have suffered. Understand me then as the slaying of a Word, wound of a Word, hanging of a Word, suffering of a Word, fastening of a Word, death of a Word, resurrection of a Word, and defining this Word, I mean every man!",Gospel of Matthew,"As it began to dawn towards the first day of the week came Mary Magdalene and the other Mary to see the sepulchre. And, behold, there was a great earthquake, for the Angel of the Lord descended from heaven, and came and rolled back the stone from the door and sat upon it. His countenance was like lightning, and his raiment white as snow, and for fear of him the keepers did shake, and became as dead men. And the Angel said unto the women: Fear not ye, for I know that ye seek Jesus, who was crucified. Why seek ye the living among the dead? He is not here; He has risen, as He said. Come, see the place where the Lord lay. And go quickly and tell His disciples that he is risen from the dead. And they departed quickly from the sepulchre with fear and great joy, and did run to bring His disciples word. And as they went to tell His disciples, behold, Jesus met them, saying: All hail. And they came and took Him by the feet, and worshipped Him.",,
Easter Day,Old Lectionary,The Inner Resurrection,"O Infinite Intelligence, in Whom all inspiration is, tell us the truth about ourselves in whatsoever ways we best may bear without being broken by that burden. Give us, we pray Thee, the sure and certain witness that spirit shall finally triumph over matter, and that death to the world is but a gateway to the ineffable splendor of eternal life in Thee. Deal lightly with us, O Divine Directing One, that we may learn our lessons in this life through love, yet with an unassuming air of absolute and utter confidence in Thy complete command of Cosmos; O never-setting sun of wisdom, goodness and truth, who livest and reignest God for ever and ever. Amen.",Acts of St. John,"Jesus said to John: Thou hearest of me suffering, yet I have not suffered; pierced, yet was I not smitten; hanged, but was not hanged; blood flowing from me, yet it did not flow. And in a word, what they say of me, these things I did not have; while what they do not say, those I have suffered. Understand me then as the slaying of a Word, wound of a Word, hanging of a Word, suffering of a Word, fastening of a Word, death of a Word, resurrection of a Word, and defining this Word, I mean every man!",Gospel of Matthew,"As it began to dawn towards the first day of the week came Mary Magdalene and the other Mary to see the sepulchre. And, behold, there was a great earthquake, for the Angel of the Lord descended from heaven, and came and rolled back the stone from the door and sat upon it. His countenance was like lightning, and his raiment white as snow, and for fear of him the keepers did shake, and became as dead men. And the Angel said unto the women: Fear not ye, for I know that ye seek Jesus, who was crucified. Why seek ye the living among the dead? He is not here; He has risen, as He said. Come, see the place where the Lord lay. And go quickly and tell His disciples that he is risen from the dead. And they departed quickly from the sepulchre with fear and great joy, and did run to bring His disciples word. And as they went to tell His disciples, behold, Jesus met them, saying: All hail. And they came and took Him by the feet, and worshipped Him.",,
The First Sunday After Easter,Old Lectionary,The Wealth of Spirit,"O Light of Truth, Thou knowest that we have come into this world to fulfill Thy will, but we have become forgetful of our true home which is in Thy being. Save us from the darkness of the Chaos, lest we be swallowed up in it. Rescue us, O Light, in whose radiance we have believed: Forsake us not, O power indwelling and almighty! Move our souls most powerfully, so that we may leave behind the poverty of Ignorance and attain to the true wealth of Spirit in Gnosis! Amen.",Gospel according to St. Luke,"And Jesus asked His disciples: Who say the people that I am? They answering said: John the Baptist; but some say Elias; and others say that one of the old prophets is risen again. He said unto them: but who say ye that I am? Peter answering said: The Christ of God. And He straightly charged them, and commanded them to tell no man that thing, saying: The Son of Man must suffer many things, and be rejected by the chief priests and scribes, and be slain, and be raised the third day. And He said to them all: If any man will come after Me, let him deny himself and take up his cross daily, and follow Me. For whosoever doth not bear his cross and come after Me, cannot be My disciple. Likewise, whosoever he be of you that forsaketh not all that he hath, he cannot be My disciple. For whosoever will save his life shall lose it; but whosoever will lose his life for My sake, the same shall save it.",Gospel according to St. Thomas,"Jesus said: I took my stand in the midst of the world and in flesh I appeared to them; I found them all drunk, I found none among them athirst. And my soul was afflicted for the sons of men, because they are blind in their heart and do not see that empty they have come into the world and that empty they seek to go out of the world again. But now they are drunk. When they have shaken off their wine, then will they repent. Jesus said: If the flesh has come into existence because of the spirit, it is a marvel; but if the spirit has come into existence because of the body, it is a marvel of marvels. But I marvel at how this great wealth has made its home in this poverty.
",,
The Second Sunday After Easter,Old Lectionary,Divine Grace,"Thou art He to whom we pray, Father of all fatherhood, and God of every god, and Lord of every lord; Thee we implore to give order to our being, to our thoughts, feelings and actions. O Monarch and sole Changeless One, grant us Thy grace and power that we may come to know Thee, that we may know that Thou art our Redeemer. Amen.",Gnosis of the Invisible God,"These mysteries that I shall give you, guard them, do not give them to any man unless worthy of them; do not give them to father or mother, to brother or sister or relative. Guard them; do not give them to anyone at all for the sake of the goods of the whole world. Do not speak to anyone of these mysteries of the Treasury of the Light, save to those who shall be worthy of them, having left the whole world and all its affairs, being in no faith other than the Faith of the Light, listening to one another and treating one another as Sons of the Light.",Gospel According to St. John,"The same day at evening, being the first day of the week, when the doors were shut where the disciples were assembled for fear of the Jews, came Jesus and stood in the midst, and saith unto them: Peace be unto you. And when He had so said, He showed unto them His hands and His side. Then were the disciples glad when they saw the Lord. Then said Jesus to them again: Peace be unto you; as My Father hath sent Me, even so send I you. And when He had said this, He breathed on them, and saith unto them: Receive ye the Holy Ghost. Whosoever sins ye remit, they are remitted unto them; and whosoever sins ye retain, they are retained.",,
The Third Sunday After Easter ,Old Lectionary,Divine Protection,"O great alone-born, hear us this day when we cry to Thee, O One-Father, almighty spirit, the firstborn of every living being and every Aeon! Help us, O holy angels! May our afflictions both within and without swiftly flee away from us, so that the benevolent powers may come to us, remain with us, and protecting us, guide us to Thine ineffable Light! Amen.",Chaldean Oracles,"The soul of man, with nothing in it subject to death, should press God closely to itself; but now it is all drunk, for it glories in the Harmony under whose sway the mortal frame exists. Seek out the channel for the Soul-Stream, whence it is that the Soul fell into slavery to the body, and to what state thou shalt rise again. Those who flee the reckless fated wing of Fate and stay themselves in God, draw to themselves the fires in all their prime as they descend out of the Father. And the soul is nourished all these Aeons by the empyrean fruit which it gathered from God, who is our home, and our true Self.",Gospel according to St. Thomas,"Jesus said: Blessed are the solitary and elect, for you shall find the kingdom; because you come from it, and you shall go there again. Jesus said: If they say to you: 'From where have you originated', you say to them: 'We have come from the Light, where the Light has originated through itself. It stood and it revealed itself in their image.' If they say to you: 'Who are you?', say: 'We are His sons and we are the elect of the Living Father.' If they ask you: 'What is the sign of your Father in you?', say to them: 'It is a movement and a rest.'",,
"The Fourth Sunday After Easter ",Old Lectionary,Divine Aid Toward Liberation,"O Thou single source of truth and wisdom, who hast taught us that we shall be lamps unto ourselves and islands of refuge unto ourselves, let us ascend up to the supreme light as if on the chariot of truth, bring us over all gulfs and abysses, bear us upward out of gorges and valleys; become to us a harbor of liberation so that we may repose in the arms of life everlasting. Amen.",Great Book of the Mandaeans,"From the place of light have I gone forth, from thee, bright habitation. An angel from the house of life accompanied me, who held a staff of living water in his hand which was full of leaves of an excellent kind. He offered me of its leaves, and prayers and sacraments sprang from it. Again he offered me of them, and he turned upwards mine eyes so that I beheld my Father and knew him. As I beheld and knew my Father, I addressed three requests to him. I asked him for mildness in which there is no rebellion. I asked him for a strong heart to bear both great and small. I asked him for smooth paths to ascend and behold the place of light.",Gospel according to St. John,"Let not your heart be troubled; ye believe in God, believe also in Me. In My Father's house are many mansions; if it were not so I would have told you. I go to prepare a place for you. And if I go to prepare a place for you, I will come again and receive you into Myself, that where I am ye may be also. Now I have told you before it come to pass, that when it is come to pass ye might believe. Peace I leave with you, My peace I give unto you; not as the world giveth give I unto you. Let not your heart be troubled, neither let it be afraid.
",,
The Fifth Sunday After Easter,Old Lectionary,Recognition of the Human Potential for Liberation,"O Thou chosen seed of the Godhead, implanted into our being before all beginnings, and enduring after all endings, blessed be Thou, and all that comes to life among us by Thy means. Open unto us, we pray Thee, the inner ways we search for, and guide us toward the fulfillment of Thy great potencies. Be born within us, and bear within Thyself the intentions of our truest will, that Thou and we may grow together unto the eternal light whence every living entity hath come forth. Amen","Hermes, the Thrice Great Lord","Mortal cannot draw near to immortal, transitory to everlasting, nor corruptible to incorruptible. Out of the two natures, immortal and mortal God has made one nature - that of man. Thus has humanity been made in one part divine, and in another part mortal while man is in a body, but the right balance of the two, that is, of man, is reverence before all things which leads to goodness.",Gospel according to St. John,"Let not your heart be troubled; ye believe in God, believe also in Me. In My Father's house are many mansions; if it were not so I would have told you. I go to prepare a place for you. And if I go to prepare a place for you, I will come again and receive you into Myself, that where I am ye may be also. Now I have told you before it come to pass, that when it is come to pass ye might believe. Peace I leave with you, My peace I give unto you; not as the world giveth give I unto you. Let not your heart be troubled, neither let it be afraid. ",,
Ascension Day,Old Lectionary,Return to the Light,"Our Lord, the joy of thy sweet cry has made us forget the life of this world, the sweetness of thy voice has made us remember the heavenly city. We rejoice as we ascend unto thee, Father with whom we have conquered in the land of darkness. O our great King, transport us to the city of the Angel-Gods, take us into the homes of rejoicing, for we are thine. Amen.",Chaldean Oracles,"Let the immortal depths of the soul be opened, and open all thy eyes at once to the Above, for if the mortal draw near to the fire he shall have light from God. Thou shouldst speed to the light and to the rays of the Father. And when thou beholdest the most holy fire, flashing formless with dancing radiance through the depths of all the worlds, then listen to the voice of fire. Believe thyself to be out of body and so thou art; for divine things are not accessible to mortals who fix their minds on body; it is for those who strip themselves naked, who speed aloft to the height. ",Pistis Sophia,"So it was that when the Light-Power came down on Jesus it gradually surrounded him altogether. Then Jesus ascended on high, shining most exceedingly with an unmeasured light; and the disciples were gazing after him, not one of them speaking until he went up to heaven, but they were all in great silence. When Jesus went up to heaven, after three hours, all the powers of the heavens trembled, and the whole earth with those who dwell thereon shook until the ninth hour of the next day. Then were all the powers of the height singing hymns to the Inmost of the Inmosts so that the whole world heard their ceaseless voices. But the disciples sat close together, being afraid. Then the heavens opened, and they saw Jesus coming down, shining most exceedingly, for he shone more than at the time he had gone up to the Heavens, so that no man of earth can speak of the light that was on him.",,
